INQUISIT_bart___script.startdate,INQUISIT_bart___script.starttime,script.subjectid,INQUISIT_bart___script.elapsedtime,INQUISIT_bart___computer.platform,INQUISIT_bart___values.completed,INQUISIT_bart___values.ballooncount,INQUISIT_bart___values.ballooncount_10,INQUISIT_bart___values.ballooncount_20,INQUISIT_bart___values.ballooncount_30,INQUISIT_bart___values.totalpumpcount,INQUISIT_bart___values.totalpumpcount_10,INQUISIT_bart___values.totalpumpcount_20,INQUISIT_bart___values.totalpumpcount_30,INQUISIT_bart___values.averagepumpcount,INQUISIT_bart___values.averagepumpcount_10,INQUISIT_bart___values.averagepumpcount_20,INQUISIT_bart___values.averagepumpcount_30,INQUISIT_bart___values.total_explosions,INQUISIT_bart___values.total_explosions_10,INQUISIT_bart___values.total_explosions_20,INQUISIT_bart___values.total_explosions_30,INQUISIT_bart___values.nonexplodedballoons,INQUISIT_bart___values.nonexplodedballoons_10,INQUISIT_bart___values.nonexplodedballoons_20,INQUISIT_bart___values.nonexplodedballoons_30,INQUISIT_bart___values.adjustedtotalpumpcount,INQUISIT_bart___values.adjustedtotalpumpcount_10,INQUISIT_bart___values.adjustedtotalpumpcount_20,INQUISIT_bart___values.adjustedtotalpumpcount_30,INQUISIT_bart___values.adjustedaveragepumpcount,INQUISIT_bart___values.adjustedaveragepumpcount_10,INQUISIT_bart___values.adjustedaveragepumpcount_20,INQUISIT_bart___values.adjustedaveragepumpcount_30,INQUISIT_delay_current___script.groupid,INQUISIT_delay_current___script.startdate,INQUISIT_delay_current___script.starttime,INQUISIT_delay_current___script.elapsedtime,INQUISIT_delay_current___computer.platform,INQUISIT_delay_current___values.completed,INQUISIT_delay_current___expressions.nips,INQUISIT_delay_current___values.t3_ip_found,INQUISIT_delay_current___values.t3_ip,INQUISIT_delay_current___values.t4_ip_found,INQUISIT_delay_current___values.t4_ip,INQUISIT_delay_current___values.t5_ip_found,INQUISIT_delay_current___values.t5_ip,INQUISIT_delay_current___values.p4_ip_found,INQUISIT_delay_current___values.p4_ip,INQUISIT_delay_current___text.subjectquestion.currentitem,INQUISIT_delay_current___text.subjectanswer.currentitem,INQUISIT_delay_original___script.groupid,INQUISIT_delay_original___script.startdate,INQUISIT_delay_original___script.starttime,INQUISIT_delay_original___script.elapsedtime,INQUISIT_delay_original___computer.platform,INQUISIT_delay_original___values.completed,INQUISIT_delay_original___expressions.nips,INQUISIT_delay_original___values.t1_ip_found,INQUISIT_delay_original___values.t1_ip,INQUISIT_delay_original___values.t2_ip_found,INQUISIT_delay_original___values.t2_ip,INQUISIT_delay_original___values.t3_ip_found,INQUISIT_delay_original___values.t3_ip,INQUISIT_delay_original___values.t4_ip_found,INQUISIT_delay_original___values.t4_ip,INQUISIT_delay_original___values.t5_ip_found,INQUISIT_delay_original___values.t5_ip,INQUISIT_delay_original___values.p1_ip_found,INQUISIT_delay_original___values.p1_ip,INQUISIT_delay_original___values.p2_ip_found,INQUISIT_delay_original___values.p2_ip,INQUISIT_delay_original___values.p3_ip_found,INQUISIT_delay_original___values.p3_ip,INQUISIT_delay_original___values.p4_ip_found,INQUISIT_delay_original___values.p4_ip,INQUISIT_delay_original___values.p5_ip_found,INQUISIT_delay_original___values.p5_ip,INQUISIT_delay_original___text.subjectquestion.currentitem,INQUISIT_delay_original___text.subjectanswer.currentitem,INQUISIT_delay_v2___script.groupid,INQUISIT_delay_v2___script.startdate,INQUISIT_delay_v2___script.starttime,INQUISIT_delay_v2___script.elapsedtime,INQUISIT_delay_v2___computer.platform,INQUISIT_delay_v2___values.completed,INQUISIT_delay_v2___expressions.nips,INQUISIT_delay_v2___values.t1_ip_found,INQUISIT_delay_v2___values.t1_ip,INQUISIT_delay_v2___values.t2_ip_found,INQUISIT_delay_v2___values.t2_ip,INQUISIT_delay_v2___values.t3_ip_found,INQUISIT_delay_v2___values.t3_ip,INQUISIT_delay_v2___values.t4_ip_found,INQUISIT_delay_v2___values.t4_ip,INQUISIT_delay_v2___values.t5_ip_found,INQUISIT_delay_v2___values.t5_ip,INQUISIT_delay_v2___values.p1_ip_found,INQUISIT_delay_v2___values.p1_ip,INQUISIT_delay_v2___values.p2_ip_found,INQUISIT_delay_v2___values.p2_ip,INQUISIT_delay_v2___values.p3_ip_found,INQUISIT_delay_v2___values.p3_ip,INQUISIT_delay_v2___values.p4_ip_found,INQUISIT_delay_v2___values.p4_ip,INQUISIT_delay_v2___values.p5_ip_found,INQUISIT_delay_v2___values.p5_ip,INQUISIT_delay_v2___text.subjectquestion.currentitem,INQUISIT_delay_v2___text.subjectanswer.currentitem,INQUISIT_gonogo___script.startdate,INQUISIT_gonogo___script.starttime,INQUISIT_gonogo___script.elapsedtime,INQUISIT_gonogo___computer.platform,INQUISIT_gonogo___values.completed,INQUISIT_gonogo___expressions.errorrate,INQUISIT_gonogo___expressions.errorrate_gotarget,INQUISIT_gonogo___expressions.errorrate_Nogotarget,INQUISIT_gonogo___expressions.error_verticalcue,INQUISIT_gonogo___expressions.error_horizontalcue,INQUISIT_gonogo___expressions.omissionerror_v,INQUISIT_gonogo___expressions.inhibitionerror_v,INQUISIT_gonogo___expressions.omissionerror_h,INQUISIT_gonogo___expressions.inhibitionerror_h,INQUISIT_gonogo___expressions.meanrt,INQUISIT_gonogo___expressions.meanrt_verticalcue_gotarget,INQUISIT_gonogo___expressions.meanrt_horizontalcue_gotarget
,,70001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90717.0,11:02:11,70002,373328,win,1.0,30.0,10.0,10.0,10.0,1137.0,381.0,320.0,436.0,37.9,38.1,32.0,43.6,8.0,3.0,3.0,2.0,22.0,7.0,7.0,8.0,870.0,260.0,220.0,390.0,39.54545455,37.14285714,31.42857143,48.75,1,90717.0,11:21:59,262392.0,win,1.0,3.0,1.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,Would you rather have  (a) $0 now or (b) $10 in 365 days?,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90717.0,11:08:38,791194,win,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.712,285.21,287.72
41317.0,15:58:00,70003,0:00:00,win,1.0,30.0,10.0,10.0,10.0,1042.0,367.0,356.0,319.0,34.73333333,36.7,35.6,31.9,9.0,1.0,6.0,2.0,21.0,9.0,4.0,8.0,815.0,361.0,187.0,267.0,38.80952381,40.11111111,46.75,33.375,,,,,,,,,,,,,,,,,,1,41317.0,16:22:57,921221.0,win,1.0,10.0,1.0,9.5,1.0,9.5,1.0,8.5,1.0,7.5,1.0,5.0,1.0,9.5,1.0,9.0,1.0,6.5,1.0,6.5,1.0,5.5,Would you rather have  (a) $9.5 for sure or (b) $10 with a 100% chance?,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41317.0,16:09:10,0:00:00,win,1.0,0.008,0.0,0.016,0.008,0.008,0.0,0.04,0.0,0.01,300.712,301.02,299.48
41817.0,18:07:45,70004,0:00:00,win,1.0,30.0,10.0,10.0,10.0,664.0,84.0,261.0,319.0,22.13333333,8.4,26.1,31.9,6.0,0.0,2.0,4.0,24.0,10.0,8.0,6.0,582.0,84.0,248.0,250.0,24.25,8.4,31.0,41.66666667,,,,,,,,,,,,,,,,,,1,41817.0,18:29:36,819781.0,win,1.0,10.0,1.0,9.5,1.0,9.5,1.0,9.0,1.0,1.0,1.0,1.5,1.0,9.5,1.0,9.5,1.0,8.5,1.0,8.0,1.0,4.5,Would you rather have  (a) $5 for sure or (b) $10 with a 25% chance?,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41817.0,18:14:19,0:00:00,win,1.0,0.5,1.0,0.0,0.8,0.2,1.0,0.0,1.0,0.0,,,
90617.0,15:17:54,70005,270418,win,1.0,30.0,10.0,10.0,10.0,891.0,202.0,356.0,333.0,29.7,20.2,35.6,33.3,10.0,3.0,2.0,5.0,20.0,7.0,8.0,5.0,733.0,158.0,340.0,235.0,36.65,22.57142857,42.5,47.0,1,90617.0,15:37:00,322203.0,win,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Would you rather have  (a) $8 for sure or (b) $10 with a 50% chance?,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90617.0,15:23:37,770691,win,1.0,0.004,0.0,0.008,0.0,0.008,0.0,0.0,0.0,0.01,349.032,348.69,350.4
90517.0,11:28:49,70006,312372,win,1.0,30.0,10.0,10.0,10.0,781.0,342.0,206.0,233.0,26.03333333,34.2,20.6,23.3,7.0,2.0,5.0,0.0,23.0,8.0,5.0,10.0,650.0,264.0,153.0,233.0,28.26086957,33.0,30.6,23.3,1,90517.0,11:48:48,244395.0,win,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,Would you rather have  (a) $2 now or (b) $10 in 30 days?,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90517.0,11:34:47,797486,win,1.0,0.948,0.968,0.9279999999999999,0.96,0.9359999999999999,0.97,0.92,0.96,0.93,300.25,325.6666667,224.0
42517.0,9:52:17,70007,0:00:00,win,1.0,30.0,10.0,10.0,10.0,1087.0,320.0,318.0,449.0,36.23333333,32.0,31.8,44.9,10.0,5.0,2.0,3.0,20.0,5.0,8.0,7.0,807.0,166.0,277.0,364.0,40.35,33.2,34.625,52.0,,,,,,,,,,,,,,,,,,0:00:00,42517.0,10:00:55,915643.0,win,1.0,10.0,1.0,9.5,1.0,9.5,1.0,6.5,1.0,5.5,1.0,6.0,1.0,10.0,1.0,8.0,1.0,5.5,1.0,4.5,1.0,3.5,Would you rather have  (a) $8 now or (b) $10 in 365 days?,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42517.0,10:16:50,816247,win,1.0,0.004,0.0,0.008,0.0,0.008,0.0,0.0,0.0,0.01,330.55199999999996,333.62,318.28
90617.0,16:53:11,70008,439669,win,1.0,30.0,10.0,10.0,10.0,599.0,173.0,192.0,234.0,19.96666667,17.3,19.2,23.4,6.0,1.0,3.0,2.0,24.0,9.0,7.0,8.0,551.0,167.0,163.0,221.0,22.95833333,18.55555556,23.28571429,27.625,1,90617.0,17:23:03,385612.0,win,1.0,2.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,Would you rather have  (a) $3.5 for sure or (b) $10 with a 50% chance?,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90617.0,17:05:17,796058,win,1.0,0.004,0.008,0.0,0.008,0.0,0.01,0.0,0.0,0.0,331.07258060000004,328.6565657,340.64
42717.0,17:54:33,70009,0:00:00,win,1.0,30.0,10.0,10.0,10.0,1130.0,286.0,380.0,464.0,37.66666667,28.6,38.0,46.4,8.0,0.0,4.0,4.0,22.0,10.0,6.0,6.0,920.0,286.0,299.0,335.0,41.81818182,28.6,49.83333333,55.83333333,,,,,,,,,,,,,,,,,,0:00:00,42717.0,18:17:10,639698.0,win,1.0,10.0,1.0,9.5,1.0,10.0,1.0,9.5,1.0,9.0,1.0,9.0,1.0,9.5,1.0,6.5,1.0,6.5,1.0,4.0,1.0,1.5,Would you rather have  (a) $8.5 now or (b) $10 in 30 days?,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42717.0,18:02:03,0:00:00,win,1.0,0.5,1.0,0.0,0.8,0.2,1.0,0.0,1.0,0.0,,,
50317.0,11:42:36,70010,0:00:00,win,1.0,30.0,10.0,10.0,10.0,319.0,90.0,112.0,117.0,10.63333333,9.0,11.2,11.7,3.0,1.0,1.0,1.0,27.0,9.0,9.0,9.0,298.0,82.0,108.0,108.0,11.03703704,9.111111111,12.0,12.0,,,,,,,,,,,,,,,,,,1,50317.0,12:01:11,819662.0,win,1.0,10.0,1.0,9.5,1.0,9.5,1.0,5.0,1.0,1.5,1.0,3.5,1.0,9.5,1.0,7.5,1.0,4.0,1.0,4.0,1.0,3.0,Would you rather have  (a) $8 now or (b) $10 in 365 days?,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50317.0,11:47:29,0:00:00,win,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.176,376.6,374.48
